parent_theme_name,decade,rgb,color_name,part_quantity
Pirates,2000,05131D,[No Color],2.0
Pirates,2000,0A3463,Dark Blue,8.0
Pirates,2000,184632,Dark Green,34.0
Pirates,2000,237841,Green,84.0
Pirates,2000,352100,Dark Brown,42.0
Pirates,2000,575857,Pearl Dark Gray,7.0
Pirates,2000,582A12,Reddish Brown,315.0
Pirates,2000,583927,Brown,61.0
Pirates,2000,6C6E68,Dark Bluish Gray,139.0
Pirates,2000,6D6E5C,Dark Gray,36.0
Pirates,2000,720E0F,Dark Red,51.0
Pirates,2000,84B68D,Trans-Green,4.0
Pirates,2000,958A73,Dark Tan,13.0
Pirates,2000,9BA19D,Light Gray,197.0
Pirates,2000,9CA3A8,Pearl Light Gray,4.0
Pirates,2000,A0A5A9,Light Bluish Gray,139.0
Pirates,2000,AA7F2E,Pearl Gold,100.0
Pirates,2000,AEEFEC,Trans-Light Blue,2.0
Pirates,2000,BBA53D,Chrome Gold,44.0
Pirates,2000,C91A09,Red,177.0
Pirates,2000,C91A09,Trans-Red,6.0
Pirates,2000,DF6695,Trans-Dark Pink,2.0
Pirates,2000,E0E0E0,Chrome Silver,1.0
Pirates,2000,E4CD9E,Tan,137.0
Pirates,2000,F08F1C,Trans-Orange,1.0
Pirates,2000,F2CD37,Yellow,125.0
Pirates,2000,F5CD2F,Trans-Yellow,13.0
Pirates,2000,F8BB3D,Bright Light Orange,1.0
Pirates,2000,F8F184,Trans-Neon Green,1.0
Pirates,2000,FCFCFC,Trans-Clear,2.0
Pirates,2000,FF800D,Trans-Neon Orange,8.0
Pirates,2000,FFFFFF,White,411.0
Pirates,2010,0020A0,Trans-Dark Blue,4.0
Pirates,2010,0055BF,Blue,136.0
Pirates,2010,05131D,Black,838.0
Pirates,2010,05131D,[No Color],1.0
Pirates,2010,0A3463,Dark Blue,55.0
Pirates,2010,184632,Dark Green,3.0
Pirates,2010,237841,Green,9.0
Pirates,2010,352100,Dark Brown,261.0
Pirates,2010,575857,Pearl Dark Gray,11.0
Pirates,2010,582A12,Reddish Brown,593.0
Pirates,2010,5A93DB,Medium Blue,28.0
Pirates,2010,635F52,Trans-Black,2.0
Pirates,2010,6C6E68,Dark Bluish Gray,296.0
Pirates,2010,720E0F,Dark Red,24.0
Pirates,2010,84B68D,Trans-Green,10.0
Pirates,2010,898788,Flat Silver,2.0
Pirates,2010,958A73,Dark Tan,106.0
Pirates,2010,9CA3A8,Pearl Light Gray,15.0
Pirates,2010,A0A5A9,Light Bluish Gray,476.0
Pirates,2010,A95500,Dark Orange,2.0
Pirates,2010,AA7F2E,Pearl Gold,178.0
Pirates,2010,AEEFEC,Trans-Light Blue,2.0
Pirates,2010,BBA53D,Chrome Gold,9.0
Pirates,2010,BBE90B,Lime,12.0
Pirates,2010,C91A09,Red,232.0
Pirates,2010,C91A09,Trans-Red,6.0
Pirates,2010,CC702A,Medium Dark Flesh,1.0
Pirates,2010,E4CD9E,Tan,217.0
Pirates,2010,F08F1C,Trans-Orange,12.0
Pirates,2010,F2CD37,Yellow,53.0
Pirates,2010,F5CD2F,Trans-Yellow,18.0
Pirates,2010,F8BB3D,Bright Light Orange,1.0
Pirates,2010,FCFCFC,Trans-Clear,4.0
Pirates,2010,FE8A18,Orange,4.0
Pirates,2010,FF800D,Trans-Neon Orange,4.0
Pirates,2010,FFF03A,Bright Light Yellow,1.0
Pirates,2010,FFFFFF,White,393.0
Racers,1990,0020A0,Trans-Dark Blue,2.0
Racers,1990,05131D,Black,220.0
Racers,1990,237841,Green,100.0
Racers,1990,4C61DB,Royal Blue,3.0
Racers,1990,9BA19D,Light Gray,30.0
Racers,1990,AEEFEC,Trans-Light Blue,4.0
Racers,1990,C91A09,Red,84.0
Racers,1990,E0E0E0,Chrome Silver,32.0
Racers,1990,F2CD37,Yellow,116.0
Racers,2000,0020A0,Trans-Dark Blue,53.0
Racers,2000,0055BF,Blue,1694.0
Racers,2000,008F9B,Dark Turquoise,4.0
Racers,2000,05131D,Black,14251.0
Racers,2000,05131D,[No Color],27.0
Racers,2000,0A3463,Dark Blue,9.0
Racers,2000,184632,Dark Green,6.0
Racers,2000,237841,Green,189.0
Racers,2000,3F3691,Dark Purple,3.0
Racers,2000,4354A3,Violet,4.0
Racers,2000,4B9F4A,Bright Green,12.0
Racers,2000,4C61DB,Royal Blue,17.0
Racers,2000,575857,Pearl Dark Gray,138.0
Racers,2000,582A12,Reddish Brown,8.0
Racers,2000,583927,Brown,40.0
Racers,2000,5A93DB,Medium Blue,86.0
Racers,2000,6074A1,Sand Blue,1.0
Racers,2000,635F52,Trans-Black,142.0
Racers,2000,6C6E68,Dark Bluish Gray,1766.0
