comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
Maybe,Maybe,No,No,I don't know,Maybe,male,30
Yes,Yes,No,No,Yes,"Yes, it has",male,55
Maybe,Yes,Maybe,Maybe,I don't know,Maybe,female,38
No,Maybe,No,No,I don't know,"No, I don't think it would",male,25
No,Yes,Maybe,Maybe,I don't know,Maybe,male,24
No,No,No,No,Yes,"No, I don't think it would",male,29
Maybe,Yes,Yes,No,Yes,"Yes, I think it would",female,40
No,No,Maybe,No,I don't know,Maybe,male,30
Yes,Yes,Maybe,No,No,"Yes, I think it would",male,32
Maybe,Maybe,No,No,Yes,Maybe,female,35
Maybe,No,Maybe,No,No,Maybe,male,36
Maybe,Maybe,No,No,Yes,Maybe,male,26
Yes,No,Maybe,No,I don't know,"Yes, I think it would",female,31
No,Yes,No,No,Yes,Maybe,male,33
No,No,Maybe,Maybe,No,Maybe,male,46
Yes,Yes,Maybe,No,I don't know,Maybe,male,32
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,34
Maybe,Maybe,No,No,I don't know,Maybe,male,41
Yes,Yes,No,No,Yes,Maybe,male,32
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,47
No,No,No,No,Yes,Maybe,male,29
Yes,Maybe,Maybe,No,I don't know,Maybe,male,36
Maybe,No,Yes,No,No,"Yes, it has",male,32
Maybe,Yes,No,No,I don't know,Maybe,male,29
Yes,Yes,No,No,Yes,"Yes, I think it would",male,22
No,No,Yes,No,No,"Yes, it has",female,32
No,No,No,Maybe,I don't know,"Yes, I think it would",female,19
Yes,Yes,No,No,Yes,Maybe,male,30
Maybe,Yes,No,No,Yes,"No, I don't think it would",other,32
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,22
Maybe,Maybe,No,No,I don't know,Maybe,male,323
No,Maybe,Yes,Maybe,No,"Yes, I think it would",female,48
No,No,Maybe,Maybe,No,Maybe,male,45
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,28
Maybe,Yes,No,No,I don't know,Maybe,male,44
No,No,Maybe,No,No,"Yes, I think it would",male,31
Yes,Yes,No,No,Yes,"No, I don't think it would",male,29
Yes,Yes,No,No,Yes,Maybe,female,35
No,No,Yes,No,No,Maybe,male,45
Maybe,Yes,No,No,I don't know,"Yes, it has",male,34
Maybe,Yes,Maybe,No,Yes,Maybe,male,35
No,No,Yes,No,I don't know,"Yes, I think it would",male,26
Maybe,Maybe,Yes,No,I don't know,Maybe,male,24
Maybe,Maybe,No,No,Yes,Maybe,male,24
Maybe,Maybe,No,No,I don't know,Maybe,male,34
Maybe,Yes,No,No,Yes,Maybe,male,36
No,No,Yes,Maybe,I don't know,"Yes, I think it would",male,41
Maybe,No,Maybe,No,I don't know,Maybe,male,21
Maybe,Maybe,Maybe,No,No,Maybe,male,33
Yes,Yes,No,No,I don't know,Maybe,male,32
Maybe,Maybe,Maybe,Maybe,I don't know,Maybe,male,31
Maybe,Maybe,No,No,Yes,"No, I don't think it would",male,29
Yes,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,33
Maybe,Yes,No,No,Yes,Maybe,male,27
Yes,Yes,No,No,Yes,"No, it has not",male,42
Maybe,Maybe,No,No,I don't know,"Yes, I think it would",male,28
Maybe,Maybe,Maybe,Maybe,No,Maybe,male,40
No,No,Maybe,No,No,"Yes, I think it would",male,26
Yes,Maybe,Maybe,Maybe,I don't know,Maybe,female,39
No,Maybe,Yes,No,I don't know,"Yes, I think it would",male,34
Yes,Maybe,Maybe,Maybe,I don't know,"Yes, it has",male,44
Yes,Yes,No,No,Yes,"No, I don't think it would",male,24
Yes,Yes,No,No,Yes,"No, it has not",male,31
Maybe,Yes,Yes,No,No,"Yes, it has",male,47
Yes,Yes,No,No,Yes,Maybe,male,30
Yes,Yes,No,No,I don't know,"No, I don't think it would",other,29
Maybe,Yes,Maybe,No,No,"Yes, I think it would",male,27
Maybe,No,Maybe,No,I don't know,Maybe,other,31
No,No,Yes,Maybe,No,"Yes, I think it would",male,27
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,29
Maybe,Maybe,No,No,I don't know,Maybe,male,29
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,42
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,26
Yes,Yes,No,No,Yes,Maybe,male,26
No,Maybe,Maybe,Maybe,Yes,Maybe,male,24
No,No,Yes,Maybe,Yes,"Yes, I think it would",male,25
Maybe,Yes,No,No,Yes,Maybe,male,22
